                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.57777,                0.42414,                 1.0993,                0.84931,                0.76706,                0.80195,                0.52608,                 1.2572,                0.88592,                 1.9055,               0.003136,               0.003136,               0.003136
                    107,                0.57849,                0.42641,                  1.096,                0.85128,                0.76832,                0.80401,                0.52717,                 1.2572,                0.88497,                 1.9058,                0.00307,                0.00307,                0.00307
                    108,                0.57796,                0.43034,                 1.0974,                0.85267,                0.76894,                0.80378,                0.52673,                 1.2579,                0.88389,                 1.9067,               0.003004,               0.003004,               0.003004
                    109,                0.57438,                0.42376,                 1.0946,                0.85141,                0.76782,                 0.8041,                0.52684,                 1.2577,                0.88349,                 1.9072,               0.002938,               0.002938,               0.002938
                    110,                0.57376,                 0.4224,                 1.0947,                0.85292,                0.76644,                0.80386,                0.52738,                 1.2574,                0.88305,                 1.9057,               0.002872,               0.002872,               0.002872
                    111,                0.56985,                0.42045,                   1.09,                0.85236,                 0.7664,                0.80386,                0.52721,                 1.2583,                0.88254,                 1.9074,               0.002806,               0.002806,               0.002806
                    112,                0.56694,                0.41526,                 1.0886,                0.85286,                 0.7658,                0.80373,                0.52699,                 1.2596,                0.88268,                  1.908,                0.00274,                0.00274,                0.00274
                    113,                0.56794,                0.41641,                 1.0891,                0.85317,                0.76407,                0.80306,                 0.5279,                 1.2604,                 0.8815,                 1.9093,               0.002674,               0.002674,               0.002674
                    114,                0.56374,                0.41266,                 1.0878,                0.85385,                0.75726,                0.80112,                  0.527,                 1.2601,                0.88128,                 1.9088,               0.002608,               0.002608,               0.002608
                    115,                0.56097,                 0.4125,                 1.0856,                0.85342,                0.76197,                0.80192,                 0.5273,                 1.2605,                0.88079,                 1.9087,               0.002542,               0.002542,               0.002542
                    116,                 0.5624,                0.41152,                 1.0861,                0.85352,                0.76259,                0.80225,                0.52718,                 1.2625,                0.87812,                 1.9127,               0.002476,               0.002476,               0.002476
                    117,                 0.5618,                0.41236,                 1.0888,                 0.8547,                0.76268,                0.80251,                 0.5282,                 1.2622,                0.87645,                 1.9128,                0.00241,                0.00241,                0.00241
                    118,                0.55893,                0.41185,                 1.0842,                0.85571,                0.76125,                0.80183,                 0.5282,                 1.2615,                0.87722,                 1.9127,               0.002344,               0.002344,               0.002344
                    119,                0.55839,                0.40751,                  1.083,                0.85719,                0.76297,                0.80237,                0.52792,                 1.2599,                0.87723,                 1.9107,               0.002278,               0.002278,               0.002278
                    120,                0.55361,                0.40205,                 1.0818,                0.85864,                0.76451,                0.80481,                0.52912,                 1.2593,                0.87799,                 1.9107,               0.002212,               0.002212,               0.002212
                    121,                0.55534,                0.40809,                 1.0821,                0.86474,                0.75662,                 0.8035,                0.52906,                 1.2603,                0.87708,                 1.9124,               0.002146,               0.002146,               0.002146
                    122,                0.55149,                 0.4019,                 1.0793,                0.86463,                0.75642,                0.80287,                0.52809,                 1.2594,                0.87738,                 1.9118,                0.00208,                0.00208,                0.00208
                    123,                0.54991,                0.40197,                 1.0762,                0.86405,                0.75892,                0.80394,                0.52852,                 1.2598,                0.87764,                 1.9117,               0.002014,               0.002014,               0.002014
                    124,                0.54971,                0.39955,                 1.0782,                0.86602,                0.75391,                0.80302,                0.52869,                 1.2615,                0.87709,                 1.9139,               0.001948,               0.001948,               0.001948
                    125,                 0.5489,                0.39728,                 1.0741,                  0.868,                0.75266,                0.80222,                0.52813,                 1.2642,                 0.8746,                 1.9174,               0.001882,               0.001882,               0.001882
                    126,                0.54312,                0.39458,                 1.0757,                0.86769,                0.75329,                0.80248,                0.52797,                 1.2639,                0.87301,                 1.9175,               0.001816,               0.001816,               0.001816
                    127,                0.54282,                0.39379,                 1.0734,                0.86841,                0.74765,                0.80184,                0.52788,                 1.2642,                0.87201,                 1.9183,                0.00175,                0.00175,                0.00175
                    128,                 0.5426,                0.39303,                 1.0724,                0.86691,                 0.7489,                0.80166,                0.52746,                  1.264,                0.87178,                 1.9178,               0.001684,               0.001684,               0.001684
                    129,                0.54171,                0.39121,                  1.071,                0.86691,                0.75048,                0.80085,                0.52712,                 1.2642,                0.87241,                 1.9178,               0.001618,               0.001618,               0.001618
                    130,                 0.5392,                0.39327,                 1.0726,                0.86775,                0.75141,                0.80155,                 0.5267,                 1.2651,                0.87218,                 1.9194,               0.001552,               0.001552,               0.001552
                    131,                0.53432,                 0.3859,                  1.072,                0.86814,                0.75266,                 0.8018,                0.52601,                 1.2654,                0.87152,                 1.9202,               0.001486,               0.001486,               0.001486
                    132,                0.53296,                0.38555,                 1.0699,                0.86866,                0.75374,                0.80051,                 0.5267,                 1.2655,                0.87053,                 1.9204,                0.00142,                0.00142,                0.00142
                    133,                0.53473,                0.38355,                 1.0694,                0.86812,                0.75642,                0.80117,                0.52661,                 1.2661,                0.86916,                 1.9209,               0.001354,               0.001354,               0.001354
                    134,                0.53383,                0.38353,                 1.0684,                0.87156,                0.75633,                0.80086,                0.52657,                 1.2662,                0.86851,                 1.9214,               0.001288,               0.001288,               0.001288
                    135,                0.52729,                0.37743,                  1.065,                0.87178,                0.75642,                0.80121,                0.52668,                 1.2667,                0.86764,                 1.9227,               0.001222,               0.001222,               0.001222
                    136,                0.52807,                0.38266,                 1.0666,                0.86626,                0.75892,                0.79948,                0.52594,                 1.2673,                0.86728,                 1.9239,               0.001156,               0.001156,               0.001156
                    137,                 0.5246,                0.37617,                  1.063,                0.86904,                0.75627,                0.79967,                0.52604,                 1.2675,                0.86686,                 1.9246,                0.00109,                0.00109,                0.00109
                    138,                0.52434,                0.37707,                 1.0645,                0.86427,                0.76143,                0.80031,                0.52644,                 1.2676,                0.86692,                 1.9251,               0.001024,               0.001024,               0.001024
                    139,                0.52403,                0.37629,                 1.0618,                0.86354,                0.76205,                0.80117,                0.52613,                  1.268,                 0.8673,                 1.9258,               0.000958,               0.000958,               0.000958
                    140,                0.52212,                0.37211,                  1.063,                 0.8622,                0.76268,                0.80145,                0.52663,                 1.2684,                0.86706,                  1.926,               0.000892,               0.000892,               0.000892
                    141,                0.47811,                0.31145,                 1.0455,                0.86143,                0.76331,                0.80194,                  0.526,                 1.2696,                0.86665,                 1.9283,               0.000826,               0.000826,               0.000826
                    142,                0.46555,                0.30191,                 1.0389,                0.86367,                0.76331,                0.80187,                0.52635,                 1.2702,                0.86618,                 1.9298,                0.00076,                0.00076,                0.00076
                    143,                0.46255,                 0.2969,                 1.0357,                0.86687,                0.76244,                0.80206,                0.52679,                 1.2714,                0.86532,                 1.9323,               0.000694,               0.000694,               0.000694
                    144,                0.45828,                0.29357,                 1.0308,                0.86607,                0.76124,                0.80186,                0.52685,                 1.2707,                0.86584,                 1.9328,               0.000628,               0.000628,               0.000628
                    145,                0.45214,                0.28977,                 1.0247,                 0.8686,                0.76143,                0.80231,                0.52687,                 1.2711,                0.86531,                 1.9344,               0.000562,               0.000562,               0.000562
                    146,                0.44954,                0.28556,                 1.0223,                0.86402,                0.76331,                0.80253,                0.52708,                 1.2714,                0.86426,                 1.9353,               0.000496,               0.000496,               0.000496
                    147,                0.44816,                0.28376,                   1.02,                0.86675,                0.76165,                0.80263,                0.52697,                 1.2705,                0.86473,                 1.9354,                0.00043,                0.00043,                0.00043
                    148,                0.44587,                0.28236,                 1.0205,                0.86467,                0.76017,                0.80086,                0.52721,                 1.2704,                0.86508,                 1.9366,               0.000364,               0.000364,               0.000364
                    149,                0.43922,                0.27809,                 1.0164,                 0.8645,                0.75767,                0.80071,                0.52767,                 1.2707,                0.86445,                 1.9379,               0.000298,               0.000298,               0.000298
                    150,                 0.4407,                0.27641,                 1.0202,                0.86288,                0.76048,                0.80254,                0.52821,                 1.2701,                0.86362,                 1.9386,               0.000232,               0.000232,               0.000232
